Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
CYRN,CYREN Ltd.,1.68,91578995.76,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cyrn,
CONE,CyrusOne Inc,76.1,8613937226.2,,2013.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cone,
CYTK,"Cytokinetics, Incorporated",11.18,656030034.92,,2004.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/cytk,
CTMX,"CytomX Therapeutics, Inc.",7.11,322861317.48,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ctmx,
CTSO,Cytosorbents Corporation,4.67,150856088.77,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/ctso,
DJCO,Daily Journal Corp. (S.C.),266.94,368576337.24,,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/djco,
DAKT,"Daktronics, Inc.",7.105,319378304.42,,1994.0,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/dakt,
DARE,"Dare Bioscience, Inc.",0.7222,12048759.4242,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dare,
DRIO,DarioHealth Corp.,0.285,12449894.4,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/drio,
DRIOW,DarioHealth Corp.,0.0192,0.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/driow,
DZSI,"DASAN Zhone Solutions, Inc.",7.09,151628377.79,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/dzsi,
DSKE,"Daseke, Inc.",2.76,178249814.16,,2015.0,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/dske,
DSKEW,"Daseke, Inc.",0.1669,0.0,,2015.0,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/dskew,
DAIO,Data I/O Corporation,3.92,32166728.16,,1981.0,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/daio,
DDOG,"Datadog, Inc.",35.67,10466814500.55,,2019.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddog,
