timestamp,open,high,low,close,volume
2019-10-08 12:19:00,1.89,1.89,1.88,1.88,0
2019-10-08 12:41:00,1.9,1.9,1.8968,1.8968,500
2019-10-08 12:46:00,1.8959,1.8959,1.8959,1.8959,337
2019-10-08 13:23:00,1.89,1.89,1.89,1.89,101
2019-10-08 13:29:00,1.88,1.88,1.85,1.85,5650
2019-10-08 13:30:00,1.8662,1.8662,1.8662,1.8662,560
2019-10-08 15:03:00,1.9,1.9,1.9,1.9,204
2019-10-08 15:46:00,1.8896,1.8896,1.8896,1.8896,1069
2019-10-09 09:31:00,1.87,1.87,1.87,1.87,0
2019-10-09 10:52:00,1.95,1.95,1.95,1.95,305
2019-10-09 12:30:00,1.93,1.93,1.9254,1.9254,2500
2019-10-09 12:31:00,1.9205,1.9205,1.9205,1.9205,3000
2019-10-09 12:46:00,1.9205,1.9205,1.9205,1.9205,1580
2019-10-09 13:15:00,1.92,1.93,1.92,1.9247,1100
2019-10-09 15:29:00,1.92,1.9405,1.92,1.9405,9796
2019-10-09 15:32:00,1.95,1.95,1.95,1.95,380
2019-10-10 10:12:00,1.95,1.95,1.95,1.95,133
2019-10-10 13:23:00,1.9466,1.9466,1.9466,1.9466,1010
2019-10-10 13:30:00,1.95,1.95,1.95,1.95,100
2019-10-10 13:42:00,1.9334,1.9334,1.9334,1.9334,523
2019-10-10 14:12:00,1.95,1.95,1.95,1.95,160
2019-10-10 15:43:00,1.9499,1.95,1.9499,1.95,1968
2019-10-10 15:46:00,1.95,1.95,1.944,1.944,2000
2019-10-10 15:50:00,1.94,1.94,1.94,1.94,317
2019-10-11 10:03:00,1.93,1.93,1.93,1.93,0
2019-10-11 10:43:00,1.8812,1.8812,1.8812,1.8812,109
2019-10-11 11:18:00,1.9382,1.9382,1.9382,1.9382,284
2019-10-11 11:36:00,1.95,1.95,1.95,1.95,592
2019-10-11 13:05:00,1.94,1.94,1.94,1.94,681
