timestamp,open,high,low,close,volume
2019-10-08 09:31:00,4.01,4.03,4.01,4.03,0
2019-10-08 09:38:00,4.03,4.03,4.03,4.03,3433
2019-10-08 09:39:00,4.02,4.02,4.02,4.02,718
2019-10-08 09:42:00,3.98,3.98,3.98,3.98,500
2019-10-08 09:43:00,4.0,4.0,4.0,4.0,0
2019-10-08 09:44:00,3.98,3.98,3.98,3.98,11017
2019-10-08 09:45:00,3.9912,4.0,3.9912,4.0,1306
2019-10-08 09:46:00,4.01,4.01,4.01,4.01,543
2019-10-08 09:47:00,4.01,4.03,4.01,4.03,2395
2019-10-08 09:48:00,4.04,4.04,4.04,4.04,200
2019-10-08 09:49:00,4.0502,4.0638,4.0438,4.0602,1745
2019-10-08 09:50:00,4.07,4.07,4.07,4.07,307
2019-10-08 09:51:00,4.07,4.07,4.025,4.025,794
2019-10-08 09:52:00,4.05,4.06,4.05,4.06,790
2019-10-08 09:53:00,4.07,4.07,4.07,4.07,182
2019-10-08 09:54:00,4.07,4.07,4.07,4.07,105
2019-10-08 09:56:00,4.06,4.06,4.06,4.06,499
2019-10-08 09:57:00,4.05,4.05,4.05,4.05,0
2019-10-08 09:58:00,4.045,4.045,4.045,4.045,21247
2019-10-08 10:01:00,4.04,4.04,4.04,4.04,200
2019-10-08 10:02:00,4.05,4.05,4.05,4.05,212
2019-10-08 10:03:00,4.05,4.05,4.05,4.05,100
2019-10-08 10:04:00,4.05,4.05,4.02,4.02,1883
2019-10-08 10:05:00,4.03,4.04,4.03,4.04,200
2019-10-08 10:06:00,4.04,4.04,4.03,4.03,901
2019-10-08 10:07:00,4.03,4.03,4.03,4.03,612
2019-10-08 10:08:00,4.03,4.03,4.03,4.03,1993
2019-10-08 10:09:00,4.02,4.02,4.02,4.02,100
2019-10-08 10:10:00,4.02,4.02,4.02,4.02,200
2019-10-08 10:11:00,4.03,4.03,4.03,4.03,400
2019-10-08 10:12:00,4.04,4.04,4.04,4.04,258
2019-10-08 10:13:00,4.04,4.06,4.04,4.06,2193
2019-10-08 10:15:00,4.08,4.085,4.05,4.05,4258
2019-10-08 10:17:00,4.06,4.06,4.05,4.05,923
2019-10-08 10:18:00,4.045,4.045,4.045,4.045,297
2019-10-08 10:19:00,4.05,4.06,4.05,4.06,1162
2019-10-08 10:20:00,4.0689,4.0689,4.05,4.05,1122
2019-10-08 10:21:00,4.055,4.055,4.05,4.05,1356
2019-10-08 10:23:00,4.06,4.075,4.06,4.075,1118
2019-10-08 10:27:00,4.07,4.07,4.06,4.06,1115
2019-10-08 10:30:00,4.06,4.06,4.05,4.05,320
2019-10-08 10:31:00,4.05,4.05,4.05,4.05,505
2019-10-08 10:33:00,4.0502,4.0539,4.0439,4.0502,3821
2019-10-08 10:36:00,4.045,4.045,4.0263,4.03,1918
2019-10-08 10:39:00,4.02,4.02,4.02,4.02,262
2019-10-08 10:41:00,4.04,4.04,4.04,4.04,1275
2019-10-08 10:43:00,4.04,4.04,4.04,4.04,186
2019-10-08 10:45:00,4.02,4.02,4.02,4.02,369
2019-10-08 10:46:00,4.025,4.025,4.025,4.025,100
2019-10-08 10:47:00,4.03,4.03,4.03,4.03,100
2019-10-08 10:48:00,4.025,4.025,4.025,4.025,100
2019-10-08 10:49:00,4.025,4.025,4.025,4.025,483
2019-10-08 10:50:00,4.02,4.025,4.015,4.015,3277
2019-10-08 10:51:00,4.015,4.015,4.015,4.015,100
2019-10-08 10:52:00,4.02,4.04,4.02,4.04,1310
2019-10-08 10:53:00,4.04,4.05,4.04,4.05,3178
2019-10-08 10:54:00,4.05,4.05,4.05,4.05,100
2019-10-08 10:57:00,4.07,4.07,4.07,4.07,0
2019-10-08 11:01:00,4.07,4.07,4.07,4.07,59721
2019-10-08 11:02:00,4.07,4.07,4.055,4.055,2508
2019-10-08 11:03:00,4.06,4.06,4.055,4.055,300
2019-10-08 11:04:00,4.05,4.06,4.05,4.06,2944
2019-10-08 11:05:00,4.07,4.075,4.07,4.075,805
2019-10-08 11:06:00,4.0968,4.11,4.095,4.1,1625
2019-10-08 11:07:00,4.11,4.11,4.1,4.11,910
2019-10-08 11:09:00,4.105,4.115,4.105,4.1103,4264
2019-10-08 11:10:00,4.12,4.13,4.12,4.12,1708
2019-10-08 11:11:00,4.12,4.134,4.12,4.134,2500
2019-10-08 11:12:00,4.14,4.15,4.14,4.15,300
2019-10-08 11:14:00,4.155,4.155,4.155,4.155,1393
2019-10-08 11:15:00,4.15,4.16,4.15,4.16,1011
2019-10-08 11:16:00,4.17,4.19,4.17,4.19,809
2019-10-08 11:17:00,4.19,4.19,4.16,4.16,2806
2019-10-08 11:18:00,4.165,4.17,4.165,4.17,1435
2019-10-08 11:19:00,4.17,4.1701,4.16,4.16,4355
2019-10-08 11:20:00,4.16,4.16,4.16,4.16,7894
2019-10-08 11:21:00,4.16,4.16,4.15,4.15,3186
2019-10-08 11:22:00,4.1552,4.159,4.144,4.1502,2197
2019-10-08 11:23:00,4.16,4.18,4.16,4.18,871
2019-10-08 11:24:00,4.18,4.18,4.18,4.18,1434
2019-10-08 11:25:00,4.18,4.18,4.17,4.18,1905
2019-10-08 11:26:00,4.17,4.17,4.17,4.17,407
2019-10-08 11:27:00,4.16,4.17,4.16,4.16,3098
2019-10-08 11:28:00,4.16,4.16,4.16,4.16,1428
2019-10-08 11:29:00,4.17,4.1701,4.17,4.17,2759
2019-10-08 11:30:00,4.1651,4.1741,4.164,4.1701,644
2019-10-08 11:31:00,4.17,4.175,4.17,4.175,200
2019-10-08 11:32:00,4.1752,4.184,4.164,4.1802,3932
2019-10-08 11:33:00,4.17,4.185,4.17,4.17,1999
2019-10-08 11:34:00,4.17,4.17,4.15,4.16,924
2019-10-08 11:35:00,4.16,4.16,4.16,4.16,201
2019-10-08 11:37:00,4.15,4.15,4.15,4.15,1460
2019-10-08 11:38:00,4.145,4.15,4.14,4.14,2803
2019-10-08 11:40:00,4.14,4.14,4.14,4.14,1018
2019-10-08 11:41:00,4.13,4.13,4.13,4.13,828
2019-10-08 11:44:00,4.12,4.12,4.12,4.12,100
2019-10-08 11:48:00,4.11,4.11,4.11,4.11,2157
2019-10-08 11:49:00,4.1,4.105,4.1,4.1,600
2019-10-08 11:54:00,4.13,4.14,4.13,4.14,3872
2019-10-08 11:55:00,4.14,4.14,4.14,4.14,257
2019-10-08 11:56:00,4.1437,4.1437,4.1437,4.1437,301
2019-10-08 11:57:00,4.14,4.14,4.14,4.14,136
2019-10-08 11:58:00,4.15,4.15,4.15,4.15,357
2019-10-08 11:59:00,4.15,4.15,4.15,4.15,759
2019-10-08 12:01:00,4.15,4.15,4.15,4.15,778
2019-10-08 12:02:00,4.145,4.145,4.145,4.145,109
2019-10-08 12:03:00,4.14,4.14,4.14,4.14,448
2019-10-08 12:04:00,4.13,4.13,4.13,4.13,243
2019-10-08 12:06:00,4.13,4.13,4.12,4.12,646
2019-10-08 12:07:00,4.12,4.12,4.11,4.11,344
2019-10-08 12:08:00,4.1201,4.1232,4.1032,4.1151,4636
2019-10-08 12:14:00,4.11,4.11,4.11,4.11,251
2019-10-08 12:15:00,4.11,4.11,4.11,4.11,317
2019-10-08 12:16:00,4.1,4.1,4.1,4.1,108
2019-10-08 12:18:00,4.11,4.11,4.11,4.11,434
2019-10-08 12:19:00,4.11,4.115,4.11,4.115,203
2019-10-08 12:21:00,4.1155,4.1155,4.1155,4.1155,0
2019-10-08 12:31:00,4.11,4.11,4.11,4.11,153585
2019-10-08 12:33:00,4.11,4.11,4.11,4.11,910
2019-10-08 12:34:00,4.1019,4.105,4.1019,4.105,4305
2019-10-08 12:35:00,4.1,4.105,4.1,4.105,501
2019-10-08 12:36:00,4.105,4.105,4.105,4.105,106
2019-10-08 12:37:00,4.1,4.105,4.1,4.1,3181
2019-10-08 12:38:00,4.1001,4.1086,4.0985,4.1051,2212
2019-10-08 12:39:00,4.105,4.105,4.105,4.105,102
2019-10-08 12:40:00,4.11,4.11,4.11,4.11,506
2019-10-08 12:43:00,4.115,4.115,4.115,4.115,417
2019-10-08 12:45:00,4.12,4.125,4.12,4.125,1499
2019-10-08 12:46:00,4.12,4.14,4.12,4.14,2159
2019-10-08 12:47:00,4.15,4.15,4.15,4.15,901
2019-10-08 12:48:00,4.14,4.14,4.135,4.135,1119
2019-10-08 12:49:00,4.13,4.135,4.125,4.125,1748
2019-10-08 12:50:00,4.125,4.125,4.125,4.125,102
2019-10-08 12:52:00,4.12,4.125,4.12,4.125,402
2019-10-08 12:53:00,4.12,4.13,4.12,4.13,2997
2019-10-08 12:54:00,4.125,4.145,4.125,4.145,500
2019-10-08 12:55:00,4.145,4.145,4.145,4.145,209
2019-10-08 12:56:00,4.145,4.145,4.14,4.14,1033
2019-10-08 12:57:00,4.13,4.135,4.13,4.13,817
2019-10-08 12:58:00,4.12,4.125,4.12,4.125,1914
2019-10-08 13:00:00,4.13,4.13,4.13,4.13,501
2019-10-08 13:01:00,4.14,4.14,4.13,4.13,351
2019-10-08 13:02:00,4.14,4.14,4.135,4.135,302
2019-10-08 13:03:00,4.1344,4.1344,4.1344,4.1344,300
2019-10-08 13:04:00,4.135,4.14,4.135,4.14,471
2019-10-08 13:05:00,4.14,4.15,4.14,4.15,1701
2019-10-08 13:06:00,4.145,4.145,4.145,4.145,103
2019-10-08 13:08:00,4.145,4.145,4.145,4.145,1102
2019-10-08 13:09:00,4.14,4.14,4.14,4.14,3906
2019-10-08 13:10:00,4.14,4.15,4.14,4.15,6803
2019-10-08 13:13:00,4.1534,4.1534,4.1534,4.1534,601
2019-10-08 13:15:00,4.1551,4.159,4.154,4.1551,1420
2019-10-08 13:16:00,4.155,4.155,4.15,4.15,1427
2019-10-08 13:20:00,4.15,4.15,4.145,4.145,10123
2019-10-08 13:21:00,4.145,4.145,4.14,4.14,800
2019-10-08 13:23:00,4.14,4.14,4.14,4.14,955
2019-10-08 13:24:00,4.14,4.14,4.14,4.14,1762
2019-10-08 13:26:00,4.14,4.14,4.14,4.14,314
2019-10-08 13:30:00,4.15,4.15,4.15,4.15,126
2019-10-08 13:34:00,4.145,4.145,4.145,4.145,101
2019-10-08 13:35:00,4.14,4.14,4.14,4.14,2452
2019-10-08 13:37:00,4.14,4.14,4.14,4.14,6241
2019-10-08 13:45:00,4.14,4.145,4.14,4.145,1007
2019-10-08 13:47:00,4.15,4.16,4.15,4.155,2481
2019-10-08 13:48:00,4.155,4.18,4.155,4.175,4531
2019-10-08 13:49:00,4.17,4.18,4.17,4.18,2533
2019-10-08 13:51:00,4.18,4.18,4.18,4.18,201
2019-10-08 13:52:00,4.185,4.185,4.185,4.185,200
2019-10-08 13:53:00,4.1852,4.1889,4.1839,4.1852,596
2019-10-08 13:55:00,4.185,4.185,4.185,4.185,105
2019-10-08 13:56:00,4.185,4.185,4.185,4.185,401
2019-10-08 13:57:00,4.185,4.185,4.185,4.185,261
2019-10-08 13:58:00,4.19,4.19,4.19,4.19,396
2019-10-08 13:59:00,4.19,4.2,4.19,4.2,4010
2019-10-08 14:00:00,4.2,4.21,4.2,4.21,12395
2019-10-08 14:01:00,4.205,4.21,4.205,4.21,610
2019-10-08 14:02:00,4.205,4.205,4.205,4.205,470
2019-10-08 14:03:00,4.205,4.205,4.205,4.205,1101
2019-10-08 14:04:00,4.21,4.21,4.21,4.21,7275
