timestamp,open,high,low,close,volume
2019-10-08 09:31:00,1.4039,1.4039,1.4039,1.4039,0
2019-10-08 09:32:00,1.4,1.403,1.39,1.39,7929
2019-10-08 09:33:00,1.39,1.3916,1.38,1.38,7493
2019-10-08 09:34:00,1.3801,1.3801,1.3801,1.3801,2000
2019-10-08 09:35:00,1.38,1.38,1.38,1.38,300
2019-10-08 09:37:00,1.36,1.36,1.36,1.36,10509
2019-10-08 09:38:00,1.36,1.36,1.36,1.36,2196
2019-10-08 09:40:00,1.35,1.35,1.35,1.35,692
2019-10-08 09:41:00,1.36,1.36,1.355,1.355,2400
2019-10-08 09:42:00,1.355,1.355,1.355,1.355,598
2019-10-08 09:44:00,1.35,1.35,1.35,1.35,269
2019-10-08 09:48:00,1.355,1.355,1.355,1.355,101
2019-10-08 09:49:00,1.355,1.355,1.355,1.355,100
2019-10-08 09:50:00,1.35,1.35,1.35,1.35,126
2019-10-08 09:53:00,1.355,1.355,1.35,1.35,400
2019-10-08 09:55:00,1.35,1.35,1.35,1.35,607
2019-10-08 09:56:00,1.35,1.35,1.35,1.35,310
2019-10-08 09:58:00,1.3514,1.3514,1.3514,1.3514,3000
2019-10-08 09:59:00,1.35,1.35,1.35,1.35,301
2019-10-08 10:02:00,1.35,1.35,1.35,1.35,132
2019-10-08 10:03:00,1.35,1.35,1.35,1.35,122
2019-10-08 10:05:00,1.3601,1.3613,1.3563,1.3601,2999
2019-10-08 10:06:00,1.36,1.36,1.351,1.351,3870
2019-10-08 10:07:00,1.35,1.35,1.35,1.35,100
2019-10-08 10:08:00,1.36,1.36,1.36,1.36,1922
2019-10-08 10:09:00,1.35,1.3501,1.35,1.3501,1000
2019-10-08 10:16:00,1.35,1.35,1.35,1.35,269
2019-10-08 10:18:00,1.355,1.355,1.355,1.355,110
2019-10-08 10:19:00,1.35,1.36,1.35,1.36,4932
2019-10-08 10:21:00,1.36,1.36,1.36,1.36,586
2019-10-08 10:22:00,1.365,1.365,1.365,1.365,200
2019-10-08 10:23:00,1.36,1.36,1.36,1.36,100
2019-10-08 10:24:00,1.36,1.36,1.36,1.36,115
2019-10-08 10:28:00,1.37,1.37,1.37,1.37,100
2019-10-08 10:29:00,1.37,1.37,1.363,1.363,221
2019-10-08 10:30:00,1.36,1.36,1.36,1.36,900
2019-10-08 10:35:00,1.37,1.37,1.36,1.36,1113
2019-10-08 10:36:00,1.36,1.36,1.36,1.36,884
2019-10-08 10:37:00,1.36,1.36,1.35,1.35,29553
2019-10-08 10:39:00,1.35,1.35,1.35,1.35,428
2019-10-08 10:41:00,1.35,1.35,1.35,1.35,190
2019-10-08 10:45:00,1.3578,1.3578,1.35,1.35,805
2019-10-08 10:46:00,1.36,1.36,1.36,1.36,100
2019-10-08 10:47:00,1.35,1.3555,1.35,1.3555,2362
2019-10-08 10:50:00,1.35,1.35,1.35,1.35,400
2019-10-08 10:51:00,1.35,1.35,1.35,1.35,400
2019-10-08 10:52:00,1.35,1.35,1.35,1.35,2145
2019-10-08 10:53:00,1.35,1.36,1.35,1.36,1771
2019-10-08 10:54:00,1.35,1.35,1.35,1.35,450
2019-10-08 10:56:00,1.35,1.35,1.35,1.35,402
2019-10-08 11:02:00,1.355,1.355,1.355,1.355,201
2019-10-08 11:06:00,1.35,1.35,1.35,1.35,120
2019-10-08 11:14:00,1.35,1.355,1.35,1.35,1438
2019-10-08 11:21:00,1.355,1.355,1.355,1.355,123
2019-10-08 11:22:00,1.355,1.355,1.35,1.35,814
2019-10-08 11:24:00,1.35,1.35,1.35,1.35,596
2019-10-08 11:32:00,1.35,1.351,1.35,1.351,800
2019-10-08 11:34:00,1.35,1.35,1.35,1.35,404
2019-10-08 11:35:00,1.35,1.35,1.35,1.35,400
2019-10-08 11:36:00,1.35,1.35,1.35,1.35,400
2019-10-08 11:37:00,1.35,1.35,1.35,1.35,400
2019-10-08 11:38:00,1.35,1.35,1.35,1.35,600
2019-10-08 11:39:00,1.35,1.35,1.35,1.35,200
2019-10-08 11:41:00,1.35,1.35,1.35,1.35,8800
2019-10-08 11:43:00,1.35,1.35,1.35,1.35,515
2019-10-08 11:44:00,1.35,1.35,1.35,1.35,254
2019-10-08 11:45:00,1.35,1.35,1.35,1.35,100
2019-10-08 11:48:00,1.35,1.35,1.35,1.35,2166
2019-10-08 11:51:00,1.35,1.35,1.35,1.35,439
2019-10-08 11:52:00,1.35,1.35,1.35,1.35,202
2019-10-08 11:56:00,1.355,1.3613,1.3513,1.3599,8369
2019-10-08 11:58:00,1.36,1.36,1.36,1.36,0
2019-10-08 11:59:00,1.36,1.36,1.36,1.36,129625
2019-10-08 12:03:00,1.36,1.36,1.36,1.36,100
2019-10-08 12:05:00,1.36,1.36,1.36,1.36,100
2019-10-08 12:08:00,1.36,1.36,1.36,1.36,100
2019-10-08 12:09:00,1.35,1.35,1.35,1.35,200
2019-10-08 12:10:00,1.36,1.36,1.36,1.36,300
2019-10-08 12:14:00,1.355,1.355,1.355,1.355,323
2019-10-08 12:21:00,1.36,1.36,1.36,1.36,200
2019-10-08 12:28:00,1.36,1.365,1.36,1.365,7381
2019-10-08 12:32:00,1.3667,1.3667,1.3667,1.3667,2153
2019-10-08 12:47:00,1.37,1.37,1.37,1.37,2010
2019-10-08 12:48:00,1.38,1.38,1.38,1.38,1100
2019-10-08 12:53:00,1.375,1.375,1.375,1.375,801
2019-10-08 12:54:00,1.38,1.38,1.38,1.38,2145
2019-10-08 12:55:00,1.38,1.38,1.38,1.38,208
2019-10-08 13:08:00,1.38,1.38,1.38,1.38,100
2019-10-08 13:10:00,1.375,1.375,1.375,1.375,700
2019-10-08 13:14:00,1.38,1.38,1.38,1.38,8399
2019-10-08 13:16:00,1.375,1.375,1.375,1.375,100
2019-10-08 13:18:00,1.37,1.3713,1.3513,1.355,12188
2019-10-08 13:19:00,1.36,1.36,1.36,1.36,1001
2019-10-08 13:20:00,1.36,1.37,1.36,1.37,4710
2019-10-08 13:21:00,1.37,1.37,1.37,1.37,519
2019-10-08 13:25:00,1.375,1.375,1.375,1.375,1182
2019-10-08 13:26:00,1.37,1.3752,1.37,1.3752,538
2019-10-08 13:31:00,1.37,1.3727,1.37,1.372,2534
2019-10-08 13:35:00,1.38,1.38,1.38,1.38,200
2019-10-08 13:40:00,1.375,1.375,1.37,1.37,1168
2019-10-08 13:54:00,1.38,1.38,1.38,1.38,100
2019-10-08 13:56:00,1.3713,1.3713,1.37,1.37,1763
2019-10-08 13:57:00,1.365,1.365,1.365,1.365,200
2019-10-08 14:00:00,1.37,1.37,1.37,1.37,99
2019-10-08 14:01:00,1.365,1.365,1.365,1.365,100
2019-10-08 14:02:00,1.36,1.36,1.36,1.36,200
2019-10-08 14:03:00,1.36,1.36,1.36,1.36,100
2019-10-08 14:04:00,1.36,1.36,1.36,1.36,202
2019-10-08 14:08:00,1.37,1.37,1.37,1.37,2519
2019-10-08 14:09:00,1.37,1.37,1.37,1.37,2401
2019-10-08 14:11:00,1.37,1.37,1.37,1.37,100
